algorithm,horizon,seed,fold,symbol,status,reason,observations,netReturn,sharpe,maxDrawdown,expectedShortfall95,oodObservationRate,latencyP99Ms
historical_mean,1,20260917,0,AVAXUSDT,failed,drawdown_limit,173,-0.07230562528548168,-1.8720119950443572,0.15234816725488876,0.015948858911291868,0.0,0.04626712
historical_mean,1,20260917,0,BNBUSDT,failed,drawdown_limit,284,-0.11700891394152335,-2.3220962094215007,0.16095276322640106,0.015167672378213792,0.0,0.05128723000000002
historical_mean,1,20260917,0,BTCUSDT,failed,drawdown_limit,279,-0.11532933097720632,-2.9652504357497675,0.15854294487320908,0.013240648239741819,0.0,0.04739127999999993
historical_mean,1,20260917,0,DOGEUSDT,failed,drawdown_limit,181,-0.05920716913143098,-1.2480856679506398,0.15169342200477498,0.018956545572489235,0.0,0.044274999999999995
historical_mean,1,20260917,0,ETHUSDT,failed,drawdown_limit,227,-0.08306011126844504,-2.277183610507654,0.15280596390242907,0.013756619379250387,0.0,0.047419900000000015
historical_mean,1,20260917,0,LINKUSDT,failed,drawdown_limit,174,-0.08340792684303655,-2.6961256300979617,0.1539751421586515,0.015015389299227164,0.0,0.059276080000000016
historical_mean,1,20260917,0,LTCUSDT,failed,drawdown_limit,181,-0.1033925316680222,-3.434008889341922,0.15186117279489875,0.015836640065093322,0.0,0.05678459999999991
historical_mean,1,20260917,0,SOLUSDT,failed,drawdown_limit,174,-0.02884665380008633,-0.6948107306096598,0.15049909810773088,0.0165316879905528,0.0,0.04876762000000004
historical_mean,1,20260917,0,XRPUSDT,failed,drawdown_limit,180,-0.1285993381065551,-4.633839892418913,0.15226029760268356,0.015679502670629158,0.0,0.05174205000000002
last_return,1,20260917,0,ADAUSDT,failed,turnover_limit,3,-0.00803998171356124,-27.327252903574404,0.00803998171356124,0.006374044522477473,0.0,0.044343679999999996
last_return,1,20260917,0,AVAXUSDT,failed,turnover_limit,7,-0.0018264592377172928,-1.1728991636205601,0.016676284842000233,0.009633553608590417,0.0,0.048968239999999996
last_return,1,20260917,0,BNBUSDT,failed,turnover_limit,2,0.00107045924811211,15.950642049251437,0.00024999999999997247,0.00024999999999997247,0.0,0.04168174
last_return,1,20260917,0,BTCUSDT,failed,turnover_limit,7,-0.013727638641845563,-13.627923138131832,0.018223106207289175,0.008768648545979918,0.0,0.05176868
last_return,1,20260917,0,DOGEUSDT,failed,turnover_limit,7,-0.012040086349655033,-13.14306160046059,0.015874088481959148,0.007821601610114692,0.0,0.04426442
last_return,1,20260917,0,ETHUSDT,failed,turnover_limit,5,-0.0011370305947555615,-1.5453909071883332,0.00797573404579599,0.006227908774159796,0.0,0.0405564
last_return,1,20260917,0,LINKUSDT,failed,turnover_limit,7,-0.014901525057118503,-11.684943798506591,0.021399633961166842,0.01058103424648782,0.0,0.04159596
last_return,1,20260917,0,LTCUSDT,failed,turnover_limit,2,-0.0015506228052590831,-34.53091330884016,0.0015506228052590831,0.0013009480422696562,0.0,0.0362029
