id,kind,status,reasonCode,observations
ppo/h1/f0/s47/partial50pct/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s47/partial50pct/XRPUSDT,replay,failed,2,181
ppo/h1/f0/s47/missed10pct/ADAUSDT,replay,failed,2,175
ppo/h1/f0/s47/missed10pct/AVAXUSDT,replay,failed,2,174
ppo/h1/f0/s47/missed10pct/BNBUSDT,replay,complete,0,599
ppo/h1/f0/s47/missed10pct/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s47/missed10pct/DOGEUSDT,replay,complete,0,599
ppo/h1/f0/s47/missed10pct/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s47/missed10pct/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s47/missed10pct/LTCUSDT,replay,failed,2,274
ppo/h1/f0/s47/missed10pct/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s47/missed10pct/XRPUSDT,replay,failed,2,273
ppo/h1/f0/s47/impact10bp/ADAUSDT,replay,failed,2,175
ppo/h1/f0/s47/impact10bp/AVAXUSDT,replay,failed,2,174
ppo/h1/f0/s47/impact10bp/BNBUSDT,replay,complete,0,599
ppo/h1/f0/s47/impact10bp/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s47/impact10bp/DOGEUSDT,replay,complete,0,599
ppo/h1/f0/s47/impact10bp/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s47/impact10bp/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s47/impact10bp/LTCUSDT,replay,failed,2,273
ppo/h1/f0/s47/impact10bp/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s47/impact10bp/XRPUSDT,replay,failed,2,182
ppo/h1/f0/s47/funding2x/ADAUSDT,replay,failed,2,175
ppo/h1/f0/s47/funding2x/AVAXUSDT,replay,failed,2,174
ppo/h1/f0/s47/funding2x/BNBUSDT,replay,complete,0,599
ppo/h1/f0/s47/funding2x/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s47/funding2x/DOGEUSDT,replay,complete,0,599
ppo/h1/f0/s47/funding2x/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s47/funding2x/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s47/funding2x/LTCUSDT,replay,failed,2,273
ppo/h1/f0/s47/funding2x/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s47/funding2x/XRPUSDT,replay,failed,2,182
double_dqn/h1/f0/s11,training,complete,0,
