rank,w_adx,t_trend,t_range,sharpe,max_drawdown,win_rate,closed_trades,avg_trade,profit_factor,error
140,0.5,0.5,0.65,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
141,0.6,0.45,0.45,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
142,0.6,0.45,0.5,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
143,0.6,0.45,0.55,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
144,0.6,0.45,0.6,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
145,0.6,0.45,0.65,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
146,0.6,0.5,0.45,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
147,0.6,0.5,0.5,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
148,0.6,0.5,0.55,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
149,0.6,0.5,0.6,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
