open,high,low,close,volume
2874.80000000,2875.07000000,2867.00000000,2869.41000000,2489.48670000
2869.42000000,2873.24000000,2865.09000000,2872.04000000,1990.72160000
2872.03000000,2872.89000000,2868.00000000,2868.71000000,4174.00010000
2868.71000000,2871.48000000,2866.72000000,2870.77000000,2688.40260000
2870.77000000,2877.84000000,2870.73000000,2876.85000000,4657.66120000
2876.85000000,2880.88000000,2874.38000000,2878.06000000,1402.92500000
2878.06000000,2890.95000000,2874.74000000,2888.55000000,1823.21180000
2888.54000000,2892.00000000,2883.50000000,2891.23000000,1370.05390000
2891.23000000,2891.23000000,2884.73000000,2885.87000000,1352.77610000
2885.88000000,2893.00000000,2885.88000000,2891.89000000,1643.13110000
2891.89000000,2891.89000000,2885.00000000,2886.01000000,968.09100000
2886.01000000,2888.33000000,2884.57000000,2886.84000000,599.85380000
2886.85000000,2891.31000000,2886.10000000,2887.40000000,496.80010000
2887.39000000,2888.50000000,2880.09000000,2880.66000000,1043.83840000
2880.67000000,2891.50000000,2879.99000000,2890.34000000,717.44200000
2890.34000000,2892.26000000,2889.46000000,2890.94000000,3009.32560000
2890.94000000,2898.35000000,2888.22000000,2897.63000000,2606.03590000
2897.64000000,2897.64000000,2891.72000000,2893.45000000,871.86580000
2893.45000000,2895.83000000,2892.85000000,2894.85000000,489.44540000
2894.85000000,2898.21000000,2892.70000000,2896.26000000,931.81450000
2896.26000000,2896.74000000,2893.93000000,2896.48000000,1491.94350000
2896.49000000,2899.99000000,2895.00000000,2898.17000000,1265.81100000
2898.17000000,2898.36000000,2890.18000000,2890.19000000,908.27290000
2890.19000000,2895.49000000,2890.00000000,2894.32000000,1089.45250000
2894.33000000,2896.94000000,2892.50000000,2893.73000000,614.86660000
2893.73000000,2899.39000000,2890.92000000,2892.44000000,917.95390000
2892.43000000,2894.25000000,2888.31000000,2893.13000000,614.33130000
2893.13000000,2894.93000000,2893.01000000,2893.88000000,286.85190000
2893.88000000,2893.88000000,2891.47000000,2892.75000000,291.66320000
2892.75000000,2897.89000000,2892.25000000,2897.34000000,271.21740000
2897.34000000,2898.50000000,2893.49000000,2895.37000000,481.36440000
2895.36000000,2896.24000000,2893.96000000,2895.38000000,476.73290000
2895.38000000,2897.61000000,2892.14000000,2892.45000000,566.05020000
2892.45000000,2892.45000000,2888.59000000,2891.01000000,691.25300000
2891.01000000,2897.04000000,2889.88000000,2895.59000000,743.86820000
2895.59000000,2897.33000000,2892.50000000,2896.50000000,371.97350000
2896.50000000,2924.11000000,2894.88000000,2921.88000000,4851.10260000
2921.87000000,2923.35000000,2911.19000000,2920.43000000,2625.81370000
2920.43000000,2930.36000000,2918.81000000,2928.27000000,2498.95680000
2928.26000000,2928.26000000,2919.37000000,2920.75000000,3683.95940000
2920.74000000,2921.61000000,2913.60000000,2913.69000000,1289.12850000
2913.69000000,2920.49000000,2913.69000000,2919.12000000,1259.42380000
2919.13000000,2933.23000000,2916.07000000,2927.35000000,1392.34840000
2927.35000000,2930.79000000,2923.00000000,2924.82000000,1211.11900000
2924.82000000,2928.11000000,2922.10000000,2927.82000000,744.85750000
2927.83000000,2930.86000000,2926.23000000,2927.14000000,1121.32130000
2927.13000000,2930.82000000,2923.32000000,2925.85000000,995.16390000
2925.85000000,2926.32000000,2919.65000000,2925.28000000,1915.62990000
2925.28000000,2929.85000000,2921.75000000,2928.43000000,1448.26370000
2928.47000000,2934.00000000,2926.94000000,2929.73000000,964.81420000
2929.74000000,2931.34000000,2923.34000000,2927.80000000,1237.14860000
2927.80000000,2931.29000000,2926.05000000,2928.23000000,1135.93340000
2928.23000000,2933.29000000,2927.48000000,2930.56000000,1691.01220000
2930.56000000,2930.56000000,2909.12000000,2909.97000000,2637.74550000
2909.97000000,2911.87000000,2904.08000000,2904.58000000,1726.33470000
2904.58000000,2910.75000000,2898.84000000,2909.71000000,2705.79980000
2909.71000000,2913.15000000,2900.36000000,2903.18000000,1365.49280000
2903.19000000,2910.48000000,2902.76000000,2907.69000000,2994.58650000
2907.69000000,2911.70000000,2905.23000000,2910.15000000,1247.86900000
2910.15000000,2922.35000000,2905.62000000,2906.69000000,1618.17870000
2906.68000000,2913.69000000,2904.73000000,2912.51000000,744.39510000
2912.50000000,2917.17000000,2909.12000000,2911.12000000,748.76990000
