open,high,low,close,volume
87200.00000000,87200.00000000,86950.00000000,86995.72000000,128.24111000
86995.71000000,86995.71000000,86550.00000000,86599.99000000,189.55983000
86599.99000000,86603.77000000,86197.00000000,86197.07000000,362.38145000
86197.07000000,86557.61000000,86116.00000000,86435.00000000,188.79659000
86435.00000000,86800.00000000,86400.00000000,86741.55000000,139.89449000
86741.55000000,86741.55000000,86200.00000000,86256.82000000,113.60189000
86256.82000000,86654.00000000,86242.16000000,86654.00000000,97.90672000
86654.00000000,86882.90000000,86526.75000000,86591.77000000,139.44041000
86591.77000000,86720.00000000,86470.52000000,86571.06000000,105.39034000
86571.06000000,86571.06000000,86350.00000000,86443.14000000,92.05563000
86443.13000000,86760.94000000,86442.22000000,86760.94000000,91.60649000
86760.94000000,87128.71000000,86760.93000000,87028.81000000,158.60689000
87028.82000000,87036.87000000,86828.72000000,87028.79000000,87.44469000
87028.80000000,87171.67000000,86970.01000000,87171.67000000,85.62448000
87171.68000000,87300.00000000,87000.00000000,87012.24000000,92.15056000
87012.23000000,87077.77000000,86938.00000000,87012.76000000,110.07040000
87012.76000000,87028.52000000,86878.02000000,86988.94000000,53.22632000
86988.93000000,87093.44000000,86925.63000000,87051.33000000,63.31608000
87051.32000000,87062.61000000,86712.35000000,86751.27000000,49.48197000
86751.28000000,86950.00000000,86751.28000000,86842.85000000,50.66323000
86842.84000000,87055.63000000,86770.53000000,87006.95000000,55.68291000
87006.95000000,87282.00000000,86996.14000000,87158.52000000,123.98726000
87158.52000000,87238.00000000,87094.01000000,87236.74000000,54.41552000
87236.73000000,87291.00000000,87076.00000000,87141.99000000,75.71341000
87142.00000000,87188.77000000,87020.08000000,87053.49000000,41.48220000
87053.49000000,87198.09000000,87050.00000000,87106.38000000,42.58982000
87106.37000000,87106.37000000,86954.17000000,87018.09000000,55.01231000
87018.09000000,87157.09000000,87018.09000000,87105.23000000,40.00791000
87105.23000000,87160.00000000,87012.43000000,87121.31000000,26.52884000
