open,high,low,close,volume
851.00000000,851.01000000,850.10000000,850.65000000,321.07800000
850.65000000,851.90000000,850.52000000,851.27000000,401.31200000
851.26000000,852.56000000,849.93000000,851.09000000,1643.64600000
851.10000000,856.20000000,850.70000000,854.96000000,1518.63000000
854.96000000,854.97000000,851.84000000,853.72000000,821.10100000
853.72000000,854.93000000,853.25000000,854.35000000,667.64300000
854.34000000,854.34000000,852.68000000,853.19000000,325.55300000
853.18000000,853.18000000,850.85000000,850.85000000,397.74400000
850.86000000,852.09000000,850.71000000,852.09000000,308.88700000
852.08000000,854.71000000,851.70000000,853.65000000,422.33900000
853.64000000,854.53000000,853.14000000,853.61000000,377.67300000
853.60000000,853.72000000,852.74000000,853.72000000,191.42900000
853.71000000,854.10000000,853.50000000,853.69000000,295.26600000
853.69000000,854.29000000,852.40000000,853.05000000,378.17300000
853.05000000,853.29000000,852.14000000,853.00000000,281.89900000
853.00000000,854.10000000,852.29000000,853.75000000,364.26200000
853.75000000,856.00000000,853.75000000,855.39000000,951.60700000
855.39000000,855.97000000,853.79000000,854.74000000,666.81200000
854.73000000,855.00000000,853.10000000,853.17000000,362.49700000
853.17000000,854.73000000,853.15000000,853.38000000,585.30300000
853.37000000,853.38000000,849.63000000,849.86000000,737.60000000
849.86000000,850.30000000,848.31000000,848.61000000,686.52400000
848.60000000,849.24000000,847.42000000,848.39000000,599.02800000
848.39000000,848.82000000,845.93000000,847.01000000,893.87400000
847.01000000,848.20000000,846.90000000,847.88000000,613.74900000
847.88000000,849.40000000,847.88000000,849.00000000,416.96100000
849.00000000,850.32000000,847.19000000,847.20000000,431.39200000
847.19000000,847.97000000,846.50000000,847.53000000,630.22000000
847.53000000,848.26000000,847.00000000,847.60000000,353.39000000
847.59000000,848.90000000,847.30000000,848.56000000,204.40300000
848.57000000,849.80000000,848.57000000,849.30000000,340.50900000
849.29000000,849.90000000,847.07000000,849.30000000,1129.91900000
849.24000000,849.35000000,847.26000000,847.79000000,598.31800000
847.79000000,847.79000000,842.02000000,842.58000000,2003.25400000
842.57000000,842.57000000,837.47000000,837.75000000,2306.94400000
837.75000000,841.14000000,837.48000000,839.44000000,1239.56800000
839.45000000,842.80000000,839.45000000,842.15000000,1130.16200000
842.14000000,842.37000000,837.60000000,838.27000000,2062.27800000
838.27000000,843.46000000,837.58000000,843.28000000,1144.53600000
843.30000000,845.46000000,842.02000000,842.56000000,1075.58800000
842.58000000,844.03000000,841.33000000,842.33000000,581.91800000
842.32000000,842.58000000,840.00000000,841.85000000,557.41600000
841.85000000,844.50000000,841.72000000,844.44000000,310.20500000
844.44000000,847.70000000,844.43000000,846.54000000,1422.06200000
846.55000000,846.69000000,844.91000000,846.03000000,370.11800000
846.01000000,847.37000000,845.58000000,847.27000000,308.41400000
847.27000000,849.12000000,846.23000000,846.35000000,1281.35800000
846.35000000,846.70000000,845.45000000,846.39000000,294.93300000
846.39000000,846.57000000,844.67000000,846.30000000,300.00800000
846.31000000,848.20000000,845.90000000,848.19000000,601.78000000
848.19000000,848.29000000,845.44000000,845.79000000,682.30500000
845.80000000,847.80000000,845.80000000,846.68000000,328.14100000
846.69000000,850.10000000,846.40000000,849.79000000,512.86300000
849.80000000,852.88000000,849.77000000,851.80000000,705.59000000
851.80000000,853.61000000,851.01000000,853.60000000,399.07600000
853.60000000,855.70000000,853.00000000,853.41000000,1207.61800000
853.41000000,853.46000000,852.00000000,852.77000000,606.98000000
852.77000000,854.10000000,852.77000000,853.02000000,259.11000000
853.01000000,853.02000000,851.50000000,852.55000000,314.54300000
852.55000000,853.94000000,852.48000000,853.28000000,986.51900000
853.28000000,853.82000000,852.36000000,853.31000000,244.23400000
853.31000000,855.07000000,852.10000000,852.11000000,610.45500000
852.11000000,853.36000000,852.11000000,853.20000000,424.65500000
853.19000000,858.00000000,853.19000000,857.55000000,914.86700000
857.56000000,857.70000000,854.50000000,855.45000000,557.19400000
855.46000000,857.43000000,855.40000000,856.48000000,315.76600000
